order_id,date,product,customer,quantity,unit_price,revenue
1001,2024-01-05,Product A,John Smith,2,19.99,39.98
1002,2024-01-15,Product B,Jane Doe,1,45.5,45.5
1003,2024-01-20,Product C,Bob Lee,3,9.99,29.97
1004,2024-02-03,Product A,Alice Wong,5,19.99,99.95
1005,2024-02-14,Product B,Jane Doe,2,45.5,91.0
1006,2024-03-03,Product C,Bob Lee,1,9.99,9.99
1007,2024-02-28,Product D,Carol King,4,12.0,48.0
1008,2024-03-15,Product E,Unknown,1,30.0,30.0
1009,2024-03-22,Product A,Alice Wong,2,19.99,39.98
1010,2024-04-10,Product B,Carol King,3,45.5,136.5
1011,2024-01-18,Product C,David Park,2,9.99,19.98
1012,2024-01-25,Product A,David Park,1,19.99,19.99
1015,2024-02-18,Product C,Alice Wong,4,9.99,39.96
1016,2024-03-30,Product E,Bob Lee,1,30.0,30.0
1017,2024-02-20,Product A,David Park,3,19.99,59.97
1018,2024-04-22,Product B,Carol King,1,45.5,45.5
1019,2024-01-29,Product D,Jane Doe,5,12.0,60.0
1020,2024-03-06,Product A,Alice Wong,2,19.99,39.98
1021,2024-03-11,Product C,Unknown,3,9.99,29.97
1022,2024-07-07,Product E,Bob Lee,1,30.0,30.0
1023,2024-02-05,Product B,Carol King,4,45.5,182.0
